university_code,university_name,found_url,url_type,confidence,note,search_timestamp
BKA,Đại học Bách Khoa Hà Nội,https://hust.edu.vn/vi/tuyen-sinh/dai-hoc/,html,high,,2026-06-13T10:53:48.714787+00:00
KHA,Trường Đại học Kinh tế Quốc dân,https://daotao.neu.edu.vn/vi/tuyen-sinh-dai-hoc-chinh-quy-2026/de-an-tuyen-sinh-dai-hoc-nam-2026,html,high,,2026-06-13T10:53:53.595634+00:00
QSK,Trường Đại học Kinh tế TP.HCM,https://tuyensinh.ueh.edu.vn/,html,high,,2026-06-13T10:53:58.948149+00:00
NTT,Trường Đại học Nguyễn Tất Thành,https://tuyensinh.ntt.edu.vn,html,high,,2026-06-13T10:54:05.606510+00:00
NLS,Trường Đại học Nông Lâm TP.HCM,https://ts.hcmuaf.edu.vn/,html,high,,2026-06-13T10:54:12.363432+00:00
