university_code,link_used,status,num_records_extracted
BKA,https://hust.edu.vn/vi/tuyen-sinh/dai-hoc/de-an-tuyen-sinh-nam-2025-567354.html,partial,0
BKA,https://hust.edu.vn/vi/tuyen-sinh/dai-hoc/cac-nganh-chuong-trinh-tuyen-sinh-dai-hoc-nam-2026-651865.html,partial,5
KHA,https://daotao.neu.edu.vn/vi/tuyen-sinh-dai-hoc-chinh-quy-2026/de-an-tuyen-sinh-dai-hoc-nam-2026,partial,0
NLS,https://ts.hcmuaf.edu.vn/ts-24449-1/vn/dai-hoc-chinh-quy.html,partial,0
NLS,https://ts.hcmuaf.edu.vn/ts-43546-1/vn/infographic-cac-nganh-tuyen-sinh-nam-2025.html,partial,36
NTT,https://tuyensinh.ntt.edu.vn/thong-tin-tuyen-sinh-c34,partial,0
NTT,https://tuyensinh.ntt.edu.vn/bieu-mau,partial,4
QSK,https://tuyensinh.ueh.edu.vn/cu-nhan-chinh-quy/,partial,0
QSK,https://tuyensinh.ueh.edu.vn/danh-muc-bai-viet/dang-tuyen-sinh/dang-tuyen-sinh-dhcq/,partial,0
